"Crew ID","Crew Name","Custom Crew Number","Custom Crew Name",
"1038735","Can Boada rowing team","","",
"1038741","LEA-CHAPMAN","","",
"1038757","PTR-MERCER","","",
"1038758","PTR-SHEPHERD","","",
"1038760","MAV-CHAPMAN","","",
"1038761","MAV-RICKWOOD","","",
"1038786","TSS-BRIDGER","","",
"1038806","PTR-ROSE","","",
"1038814","TRC-HARDY","","",
"1038820","CSH-BROWN","","",
"1038825","WBK-KUKULA","","",
"1038826","WBK-INMAN","","",
"1038862","TKC-JUDD","","",
"1038863","ABN-GRUNEWALD","","",
"1038864","CERCLE NAUTIQUE DE FRANCE","","",
"1038888","RDG-WILLIAMS","","",
"1038944","AKN-RAFFAELE","","",
"1038946","WBK-BULLARD","","",
"1038954","STN-DOUGLAS","","",
"1038961","Erasmus","","",
"1038966","VRC-WOODFINE","","",
"1038967","VRC-CANNON","","",
"1038974","AKN-ZWAAGSTRA","","",
"1038978","MHD-JANISCH","","",
"1038992","HSB","","",
"1038995","rowing cowboys","","",
"1039000","WBK-FIELD","","",
"1039001","MIN-COOKE","","",
"1039002","Limerick's Finest","","",
"1039003","KGSVBC A","","",
"1039004","KGSVBC Men","","",
"1039021","KRC/BerlinRC/ChritstianaR/KRZVdeHoop","","",
"1039025","SIV - ASHMORE","","",
"1039039","MBC-WOOD","","",
"1039045","RDG-MONTAGUE","","",
"1039046","RDG-NORTON","","",
"1039048","PPRC Mixed Quad","","",
"1039062","SON-TURNOCK","","",
"1039065","TRC-JACOBS","","",
"1039066","TRC-PANTER","","",
"1039067","VRC-MAKONI","","",
"1039068","VRC-LALEYE-LUREL","","",
"1039079","FSC-HELLIER","","",
"1039080","BBL-RICHARDSON","","",
"1039092","SON-THOMPSON","","",
"1039095","WRR-ANDREWS","","",
"1039105","AKN-REDDIEX","","",
"1039426","Treviso C","","",
"1039427","Treviso D","","",
