"Crew ID","Crew Name","Custom Crew Number","Custom Crew Name",
"1002692","UTC-HOWELL","","",
"1002702","PTR-DESMOND","","",
"1002703","PTR-GRANT","","",
"1002800","ROS-COLLEY","","",
"1002820","CAB-MEREDITH","","",
"1002828","MIN-BIRTWISTLE","","",
"1002829","KRC-BASCOMBE","","",
"1002856","RDG-Norton","","",
"1002872","Idroscalo 8","","",
"1002884","RV Treviris Trier","","",
"1002903","LRC-Fothergill","","",
"1002905","Wright","","",
"1002906","Middleton","","",
"1002912","Mas F - Doug D","","",
"1002918","AZS AWF Warszawa","","",
"1002968","Lund","","",
"1003065","CAB-FRAZER","","",
"1003085","short","","",
"1003093","MAA-CARDWELL","","",
"1003133","GRI/ETV/RED/HEC/ALD/BEK","","",
"1003134","TSS-TGA","","",
"1003185","DAT Atkinson","","",
"1003187","Stratford / Bridgnorth","","",
"1003216","TRC - Currey","","",
"1003220","Newark Rowing Club","","",
"1003225","Peterborough - Lloyd","","",
"1003227","Peterborough Smith","","",
"1003234","TSS-TGA/CYG","","",
"1003242","RYCC SAVOIA","","",
"1003249","TwRC Wine Drinkers","","",
"1003251","UTRC mixed","","",
"1003259","NOR-WESTON","","",
"1003260","CSH/BED/HEN/MED/STA-TURNER","","",
"1003261","WLT - Gillespie","","",
"1003274","Anc mxd 8","","",
